fdc_id,data_type,description,food_category_id,publication_date
319874,sample_food,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319875,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319876,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319877,sub_sample_food,Hummus,16,01/04/2019
319878,sub_sample_food,Hummus,16,01/04/2019
319879,sample_food,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319880,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319881,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319882,sub_sample_food,Hummus,16,01/04/2019
319883,sub_sample_food,Hummus,16,01/04/2019
319884,sub_sample_food,Hummus,16,01/04/2019
319885,sample_food,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319886,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319887,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319888,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319889,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319890,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319891,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319892,sub_sample_food,Hummus,16,01/04/2019
319893,sub_sample_food,Hummus,16,01/04/2019
319894,sample_food,"HUMMUS, OTHER",16,01/04/2019
319895,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
319896,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
319897,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
319898,market_acquisition,"HUMMUS, OTHER",16,01/04/2019
319899,sub_sample_food,Hummus,16,01/04/2019
319900,sub_sample_food,Hummus,16,01/04/2019
319901,sample_food,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319902,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319903,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319904,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
319905,market_acquisition,"HUMMUS, SABRA CLASSIC",16,01/04/2019
