food_description,"Fiber, total dietary","Fatty acids, total polyunsaturated","Magnesium, Mg",Vitamin_D_Total_UG,"Zinc, Zn"
"Alaska Pollock,  raw",0.0,0.4577,22.82,0.0,0.4313
"Almond butter,  creamy",9.718,12.61,267.8,0.0,3.178
"Almond milk,  unsweetened",0.0,0.2763,7.273000000000001,1.1471166666666666,0.14007
"Anchovies,  canned in olive oil",0.0,0.0,227.6,0.0,2.539
"Apple juice,  with added vitamin C",0.0,0.0,4.861,0.0,0.002125
"Apples,  fuji",2.0875000000000004,0.0,4.6850000000000005,0.0,0.01838
"Apples,  gala",2.1045,0.0,4.9735,0.0,0.021745
"Apples,  granny smith",2.5069999999999997,0.0,5.0775,0.0,0.02138
"Apples,  honeycrisp",1.7105000000000001,0.0,4.1754999999999995,0.0,0.01914
"Apples,  red delicious",2.0215,0.0,4.6975,0.0,0.01982
"Applesauce,  unsweetened",0.0,0.0,3.938,0.0,0.002625
"Apricot,  with skin",1.51,0.0,8.883,0.0,0.1483
"Arugula,  baby",2.28,0.0,42.65,0.0,0.3483
"Asparagus,  green",1.883,0.0,13.78,0.0,0.5955
"Avocado,  Hass",0.0,0.0,32.8,0.0,0.4596
"Baked beans,  Original",3.547,0.3793,0.0,0.0,0.0
"Bananas,  overripe",1.7,0.0,0.0,0.0,0.0
"Bananas,  ripe and slightly ripe",1.7,0.0,28.0,0.0,0.16
"Beans,  Dry",4.241176470588235,0.0,172.47058823529412,0.0,3.37
"Beans,  baked",4.233,0.3467,0.0,0.0,0.0
"Beans,  black",0.0,0.0,32.54,0.0,0.7399
"Beans,  cannellini",0.0,0.0,91.445,0.0,1.61775
"Beans,  great northern",0.0,0.0,29.3,0.0,0.6349
"Beans,  kidney",0.0,0.0,27.4,0.0,0.543
"Beans,  navy",0.0,0.0,29.56,0.0,0.6313
"Beans,  pinto",0.0,0.0,27.49,0.0,0.6248
"Beans,  snap",3.011,0.0,20.455,0.0,0.26990000000000003
"Beef,  chuck",0.0,0.5557,16.99,0.0,5.386
"Beef,  flank",0.0,0.3143,18.86,0.0,5.563
"Beef,  ground",0.0,0.423,16.45,0.0,4.021
"Beef,  loin",0.0,0.418,12.5,0.0,3.73
"Beef,  ribeye",0.0,0.6286,16.68,0.0,4.063
"Beef,  round",0.0,0.20766,13.736,0.0,3.5235999999999996
"Beef,  short loin",0.0,0.3865,15.35,0.0,4.105
